Open,High,Low,Close,Volume,Date
7894.57000000,7980.00000000,7590.00000000,7934.52000000,79942.41117200,2020-03-11
7934.58000000,7966.17000000,4410.00000000,4800.00000000,261505.60865300,2020-03-12
4800.01000000,5955.00000000,3782.13000000,5578.60000000,402201.67376400,2020-03-13
5576.05000000,5640.52000000,5055.13000000,5172.06000000,136910.13597400,2020-03-14
5172.48000000,5940.00000000,5093.10000000,5361.30000000,139916.14653400,2020-03-15
5360.33000000,5365.42000000,4442.12000000,5028.97000000,227276.92276000,2020-03-16
5028.86000000,5525.00000000,4921.45000000,5312.64000000,150089.92631800,2020-03-17
5312.64000000,5436.17000000,5009.37000000,5393.04000000,137127.63489400,2020-03-18
5393.26000000,6400.00000000,5252.53000000,6162.37000000,199020.87343900,2020-03-19
6162.05000000,6900.00000000,5670.00000000,6208.36000000,219298.32951400,2020-03-20
6204.57000000,6456.98000000,5860.02000000,6186.98000000,128913.66836300,2020-03-21
6187.04000000,6407.87000000,5734.01000000,5816.19000000,119115.99052700,2020-03-22
5816.05000000,6600.00000000,5688.00000000,6467.31000000,164674.21578500,2020-03-23
6465.25000000,6833.00000000,6371.33000000,6744.72000000,151138.00987800,2020-03-24
6744.69000000,6957.96000000,6450.00000000,6677.43000000,132155.73498900,2020-03-25
6677.42000000,6780.00000000,6510.00000000,6737.36000000,83026.55521100,2020-03-26
6737.27000000,6842.59000000,6261.00000000,6359.11000000,82914.96835400,2020-03-27
6359.11000000,6360.00000000,6024.00000000,6236.65000000,93159.69342900,2020-03-28
6236.65000000,6266.00000000,5866.56000000,5881.42000000,63311.62771400,2020-03-29
5880.50000000,6599.00000000,5857.76000000,6394.38000000,118889.54999200,2020-03-30
6394.45000000,6523.23000000,6321.40000000,6410.44000000,72337.59525900,2020-03-31
6412.14000000,6679.94000000,6150.11000000,6642.92000000,97500.75240000,2020-04-01
