===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,SMACross,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
57,,57,2020-02-26 00:00:00,9316.48,9377.44,8633.63,8785.25,92130.345482,,SMACross,57,737481.0,Broker,57,10211.576879438375,10211.576879438375,BuySell,57,,,Trades - Net Profit/Loss,57,,
58,,58,2020-02-27 00:00:00,8786.0,8971.77,8531.0,8823.21,72483.578762,,SMACross,58,737482.0,Broker,58,10211.576879438375,10211.576879438375,BuySell,58,,,Trades - Net Profit/Loss,58,,
59,,59,2020-02-28 00:00:00,8823.25,8900.0,8445.0,8692.91,71155.208977,,SMACross,59,737483.0,Broker,59,10211.576879438375,10211.576879438375,BuySell,59,,,Trades - Net Profit/Loss,59,,
60,,60,2020-02-29 00:00:00,8690.8,8790.0,8523.55,8523.61,36748.183035,,SMACross,60,737484.0,Broker,60,10211.576879438375,10211.576879438375,BuySell,60,,,Trades - Net Profit/Loss,60,,
61,,61,2020-03-01 00:00:00,8523.61,8750.0,8411.0,8531.88,43892.201779,,SMACross,61,737485.0,Broker,61,10211.576879438375,10211.576879438375,BuySell,61,,,Trades - Net Profit/Loss,61,,
62,,62,2020-03-02 00:00:00,8530.3,8965.75,8498.0,8915.24,60401.31773,,SMACross,62,737486.0,Broker,62,10211.576879438375,10211.576879438375,BuySell,62,,,Trades - Net Profit/Loss,62,,
63,,63,2020-03-03 00:00:00,8911.18,8919.65,8651.0,8760.07,55154.997282,,SMACross,63,737487.0,Broker,63,10211.576879438375,10211.576879438375,BuySell,63,,,Trades - Net Profit/Loss,63,,
64,,64,2020-03-04 00:00:00,8760.07,8848.29,8660.0,8750.87,38696.482578,,SMACross,64,737488.0,Broker,64,10211.576879438375,10211.576879438375,BuySell,64,,,Trades - Net Profit/Loss,64,,
65,,65,2020-03-05 00:00:00,8750.99,9159.42,8746.54,9054.68,58201.866355,,SMACross,65,737489.0,Broker,65,10211.576879438375,10211.576879438375,BuySell,65,,,Trades - Net Profit/Loss,65,,
66,,66,2020-03-06 00:00:00,9054.64,9170.0,8985.5,9131.88,43782.948044,,SMACross,66,737490.0,Broker,66,10211.576879438375,10211.576879438375,BuySell,66,,,Trades - Net Profit/Loss,66,,
67,,67,2020-03-07 00:00:00,9130.89,9188.0,8835.0,8886.66,45422.204525,,SMACross,67,737491.0,Broker,67,10211.576879438375,10211.576879438375,BuySell,67,,,Trades - Net Profit/Loss,67,,
