id,isBestMatch,isBuyerMaker,price,qty,quoteQty,date time
350295646,True,False,9137.96000000,0.06034200,551.40278232,2020-07-04 19:10:19
350295647,True,False,9137.96000000,0.06002200,548.47863512,2020-07-04 19:10:19
350295648,True,False,9137.96000000,0.01183000,108.10206680,2020-07-04 19:10:19
350295649,True,False,9137.96000000,0.00633000,57.84328680,2020-07-04 19:10:19
350295650,True,False,9137.96000000,0.06008500,549.05432660,2020-07-04 19:10:20
350295651,True,False,9137.96000000,0.06076200,555.24072552,2020-07-04 19:10:21
350295652,True,False,9137.96000000,0.06036400,551.60381744,2020-07-04 19:10:21
350295653,True,False,9137.96000000,0.06001200,548.38725552,2020-07-04 19:10:22
350295654,True,False,9137.96000000,0.00469000,42.85703240,2020-07-04 19:10:22
350295655,True,False,9137.96000000,0.06023700,550.44329652,2020-07-04 19:10:23
350295656,True,False,9137.96000000,0.00282100,25.77818516,2020-07-04 19:10:23
350295657,True,False,9137.96000000,0.06033700,551.35709252,2020-07-04 19:10:23
350295658,True,False,9137.96000000,0.06003100,548.56087676,2020-07-04 19:10:24
350295659,True,True,9137.95000000,0.02000000,182.75900000,2020-07-04 19:10:24
350295660,True,True,9137.95000000,0.00234500,21.42849275,2020-07-04 19:10:25
350295661,True,False,9137.96000000,0.06001000,548.36897960,2020-07-04 19:10:25
350295662,True,False,9137.96000000,0.06057200,553.50451312,2020-07-04 19:10:25
350295663,True,False,9137.96000000,0.00654000,59.76225840,2020-07-04 19:10:26
350295664,True,False,9137.96000000,0.01629900,148.93961004,2020-07-04 19:10:26
350295665,True,False,9137.96000000,0.06010300,549.21880988,2020-07-04 19:10:26
350295666,True,True,9137.95000000,0.00100700,9.20191565,2020-07-04 19:10:26
350295667,True,True,9137.95000000,0.01091500,99.74072425,2020-07-04 19:10:26
350295668,True,True,9137.94000000,0.08700000,795.00078000,2020-07-04 19:10:26
350295669,True,True,9137.94000000,0.00126200,11.53208028,2020-07-04 19:10:27
350295670,True,False,9137.95000000,0.06086100,556.14477495,2020-07-04 19:10:27
350295671,True,False,9137.95000000,0.00123300,11.26709235,2020-07-04 19:10:27
350295672,True,False,9137.95000000,0.00596000,54.46218200,2020-07-04 19:10:27
350295673,True,False,9137.95000000,0.00456000,41.66905200,2020-07-04 19:10:27
350295674,True,False,9137.95000000,0.06050400,552.88252680,2020-07-04 19:10:28
350295675,True,False,9137.95000000,0.03337700,304.99735715,2020-07-04 19:10:28
350295676,True,False,9137.95000000,0.06113100,558.61202145,2020-07-04 19:10:28
350295677,True,False,9137.95000000,0.00923000,84.34327850,2020-07-04 19:10:29
350295678,True,False,9137.95000000,0.06012500,549.41924375,2020-07-04 19:10:29
350295679,True,False,9137.95000000,0.06041300,552.05097335,2020-07-04 19:10:30
350295680,True,False,9137.95000000,0.06104100,557.78960595,2020-07-04 19:10:30
350295681,True,True,9137.94000000,0.01000000,91.37940000,2020-07-04 19:10:30
350295682,True,False,9137.95000000,0.06058200,553.59528690,2020-07-04 19:10:31
350295683,True,True,9137.94000000,0.01570800,143.53876152,2020-07-04 19:10:31
350295684,True,False,9137.95000000,0.00385000,35.18110750,2020-07-04 19:10:31
350295685,True,True,9137.94000000,0.01001500,91.51646910,2020-07-04 19:10:31
350295686,True,True,9137.94000000,0.00251600,22.99105704,2020-07-04 19:10:31
350295687,True,False,9137.95000000,0.06033300,551.31993735,2020-07-04 19:10:31
350295688,True,False,9137.95000000,0.02441300,223.08477335,2020-07-04 19:10:32
350295689,True,False,9137.95000000,0.08221900,751.31311105,2020-07-04 19:10:32
350295690,True,True,9137.94000000,0.00121000,11.05690740,2020-07-04 19:10:32
350295691,True,False,9137.95000000,0.04680200,427.67433590,2020-07-04 19:10:32
350295692,True,False,9137.95000000,0.00188600,17.23417370,2020-07-04 19:10:32
350295693,True,False,9137.95000000,0.01172100,107.10591195,2020-07-04 19:10:32
350295694,True,False,9137.95000000,0.06050200,552.86425090,2020-07-04 19:10:33
350295695,True,False,9137.95000000,0.10966900,1002.14983855,2020-07-04 19:10:33
350295696,True,False,9137.96000000,0.00883900,80.77042844,2020-07-04 19:10:33
350295697,True,False,9137.99000000,0.05153700,470.94459063,2020-07-04 19:10:33
350295698,True,True,9137.94000000,0.03155800,288.37511052,2020-07-04 19:10:34
350295699,True,True,9137.94000000,0.00218900,20.00295066,2020-07-04 19:10:34
350295700,True,False,9137.95000000,0.00535500,48.93372225,2020-07-04 19:10:34
350295701,True,False,9137.95000000,0.06005500,548.77958725,2020-07-04 19:10:34
350295702,True,False,9137.95000000,0.01090000,99.60365500,2020-07-04 19:10:34
350295703,True,False,9137.95000000,0.02435000,222.50908250,2020-07-04 19:10:35
350295704,True,False,9137.95000000,0.05079500,464.16217025,2020-07-04 19:10:35
350295705,True,False,9137.95000000,0.00975800,89.16811610,2020-07-04 19:10:35
350295706,True,True,9137.94000000,0.11286800,1031.38101192,2020-07-04 19:10:35
350295707,True,False,9137.95000000,0.06109800,558.31046910,2020-07-04 19:10:35
350295708,True,False,9137.95000000,0.00320900,29.32368155,2020-07-04 19:10:36
350295709,True,False,9137.95000000,0.05132300,468.98700785,2020-07-04 19:10:36
350295710,True,False,9137.95000000,0.00927200,84.72707240,2020-07-04 19:10:36
350295711,True,True,9137.94000000,0.00952200,87.01146468,2020-07-04 19:10:36
350295712,True,True,9137.94000000,0.01000900,91.46164146,2020-07-04 19:10:37
350295713,True,False,9137.95000000,0.06088800,556.39149960,2020-07-04 19:10:37
350295714,True,False,9137.95000000,0.01500000,137.06925000,2020-07-04 19:10:37
350295715,True,False,9138.00000000,0.04518800,412.92794400,2020-07-04 19:10:37
350295716,True,True,9137.94000000,0.01610900,147.20307546,2020-07-04 19:10:37
350295717,True,True,9137.96000000,0.00995500,90.96839180,2020-07-04 19:10:37
350295718,True,True,9137.94000000,0.04669900,426.73266006,2020-07-04 19:10:38
350295719,True,True,9137.94000000,0.05122400,468.08183856,2020-07-04 19:10:38
350295720,True,False,9137.95000000,0.00438900,40.10646255,2020-07-04 19:10:38
350295721,True,False,9137.95000000,0.06076500,555.26753175,2020-07-04 19:10:38
350295722,True,False,9137.95000000,0.06157300,562.65099535,2020-07-04 19:10:39
350295723,True,False,9137.95000000,0.01113000,101.70538350,2020-07-04 19:10:39
350295724,True,True,9137.94000000,0.03895900,356.00500446,2020-07-04 19:10:39
350295725,True,False,9137.95000000,0.06226300,568.95618085,2020-07-04 19:10:39
350295726,True,False,9137.95000000,0.06018200,549.94010690,2020-07-04 19:10:40
350295727,True,False,9138.00000000,0.00335500,30.65799000,2020-07-04 19:10:40
350295728,True,False,9138.00000000,0.00335500,30.65799000,2020-07-04 19:10:40
350295729,True,False,9138.00000000,0.00335500,30.65799000,2020-07-04 19:10:40
350295730,True,False,9138.00000000,0.00142800,13.04906400,2020-07-04 19:10:40
350295731,True,False,9138.46000000,0.00192700,17.60981242,2020-07-04 19:10:40
350295732,True,False,9138.46000000,0.00335500,30.65953330,2020-07-04 19:10:40
350295733,True,False,9138.46000000,0.00335500,30.65953330,2020-07-04 19:10:40
350295734,True,False,9138.46000000,0.00335500,30.65953330,2020-07-04 19:10:40
350295735,True,False,9138.46000000,0.00335500,30.65953330,2020-07-04 19:10:40
350295736,True,False,9138.46000000,0.00335500,30.65953330,2020-07-04 19:10:40
350295737,True,False,9138.46000000,0.00335500,30.65953330,2020-07-04 19:10:40
350295738,True,False,9138.46000000,0.00335500,30.65953330,2020-07-04 19:10:40
350295739,True,False,9138.46000000,0.00335500,30.65953330,2020-07-04 19:10:40
350295740,True,False,9138.46000000,0.00335500,30.65953330,2020-07-04 19:10:40
350295741,True,False,9138.46000000,0.00335500,30.65953330,2020-07-04 19:10:40
350295742,True,False,9138.46000000,0.00335500,30.65953330,2020-07-04 19:10:40
350295743,True,False,9138.46000000,0.01105300,101.00739838,2020-07-04 19:10:40
350295744,True,False,9138.46000000,0.00335500,30.65953330,2020-07-04 19:10:40
350295745,True,False,9138.46000000,0.00335500,30.65953330,2020-07-04 19:10:40
350295746,True,False,9138.46000000,0.00335500,30.65953330,2020-07-04 19:10:40
350295747,True,False,9138.46000000,0.00335500,30.65953330,2020-07-04 19:10:40
350295748,True,False,9138.46000000,0.00335500,30.65953330,2020-07-04 19:10:40
350295749,True,False,9138.46000000,0.00335500,30.65953330,2020-07-04 19:10:40
350295750,True,False,9138.46000000,0.00335500,30.65953330,2020-07-04 19:10:40
350295751,True,False,9138.46000000,0.00335500,30.65953330,2020-07-04 19:10:40
350295752,True,False,9138.46000000,0.00335500,30.65953330,2020-07-04 19:10:40
350295753,True,False,9138.46000000,0.00335500,30.65953330,2020-07-04 19:10:40
350295754,True,False,9138.46000000,0.00335500,30.65953330,2020-07-04 19:10:40
350295755,True,False,9138.46000000,0.00335500,30.65953330,2020-07-04 19:10:40
350295756,True,False,9138.46000000,0.00335500,30.65953330,2020-07-04 19:10:40
